Date,Open,High,Low,Close,Volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20
2021-03-01,123.7500,127.9300,122.7900,127.7900,116310000.0000,32.3,30.4,13392.7540,13729.9750,0.2788,0.2218
2021-03-02,128.4100,128.7200,125.0100,125.1200,102260000.0000,32.3,30.4,13371.4720,13727.7450,0.2812,0.2252
2021-03-03,124.8100,125.7100,121.8400,122.0600,112970000.0000,32.3,30.4,13251.4280,13696.9935,0.2682,0.2305
2021-03-04,121.7500,123.6000,118.6200,120.1300,178160000.0000,32.3,30.4,13172.2360,13652.6400,0.2732,0.2364
2021-03-05,120.9800,121.9300,117.5700,121.4200,153770000.0000,32.3,30.4,13117.7980,13609.7605,0.2820,0.2426
2021-03-08,120.9300,121.0000,116.2100,116.3600,154380000.0000,32.3,30.4,12921.8640,13547.4035,0.3150,0.2573
2021-03-09,119.0300,122.0600,118.7900,121.0800,129530000.0000,32.3,30.4,12864.8720,13501.7130,0.3206,0.2634
2021-03-10,121.6900,122.1700,119.4500,119.9800,111940000.0000,32.3,30.4,12879.0880,13454.7695,0.3246,0.2692
2021-03-11,122.5400,123.2100,121.2600,121.9600,103030000.0000,32.3,30.4,13014.1280,13426.0765,0.3258,0.2737
2021-03-12,120.4000,121.1700,119.1600,121.0300,88110000.0000,32.3,30.4,13094.0720,13390.7815,0.3290,0.2802
2021-03-15,121.4000,124.0000,120.4200,123.9900,92590000.0000,32.3,30.4,13264.1820,13358.9935,0.3326,0.2932
2021-03-16,125.6700,127.1900,124.7500,125.5700,115230000.0000,32.3,30.4,13343.7300,13330.1970,0.3352,0.2991
2021-03-17,124.0300,125.8400,122.3500,124.7600,111930000.0000,32.3,30.4,13435.0040,13308.1820,0.3326,0.3029
2021-03-18,123.0000,123.1500,120.3500,120.5300,121470000.0000,32.3,30.4,13378.5040,13270.7225,0.3300,0.3085
2021-03-19,119.8800,121.3800,119.6800,119.9900,185550000.0000,32.3,30.4,13357.5780,13237.7615,0.3280,0.3133
