Date,Open,High,Low,Close,Volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20,wti_ma5,nlp_pos,nlp_neg,nlp_neu,nlp_compound
2021-03-12,120.4000,121.1700,119.1600,121.0300,88110000.0000,28.6,30.8,13094.0720,13390.7815,0.3290,0.2802,75.5940,0.2149,0.7055,0.0795,0.3474
2021-03-15,121.4100,124.0000,120.4200,123.9900,92590000.0000,28.6,30.8,13264.1820,13358.9935,0.3326,0.2932,75.4400,0.2149,0.7055,0.0795,0.3474
2021-03-16,125.7000,127.2200,124.7100,125.5700,115230000.0000,28.6,30.8,13343.7300,13330.1970,0.3352,0.2991,75.6240,0.2149,0.7055,0.0795,0.3474
2021-03-17,124.0500,125.8600,122.3400,124.7600,111930000.0000,28.6,30.8,13435.0040,13308.1820,0.3326,0.3029,75.6240,0.2149,0.7055,0.0795,0.3474
2021-03-18,122.8800,123.1800,120.3200,120.5300,121470000.0000,28.6,30.8,13378.5040,13270.7225,0.3300,0.3085,75.7840,0.0553,0.8138,0.1310,-0.3002
2021-03-19,119.9000,121.4300,119.6800,119.9900,185550000.0000,28.6,30.8,13357.5780,13237.7615,0.3280,0.3133,75.6780,0.0553,0.8138,0.1310,-0.3002
2021-03-22,120.3300,123.8700,120.2600,123.3900,111910000.0000,28.6,30.8,13341.1440,13229.9860,0.3224,0.3139,75.6960,0.0553,0.8138,0.1310,-0.3002
2021-03-23,123.3300,124.2400,122.1400,122.5400,95470000.0000,28.6,30.8,13292.3700,13218.1110,0.3224,0.3157,76.0740,0.0553,0.8138,0.1310,-0.3002
2021-03-24,122.8200,122.9000,120.0700,120.0900,88530000.0000,28.6,30.8,13179.7080,13186.3070,0.3184,0.3184,76.4680,0.0553,0.8138,0.1310,-0.3002
2021-03-25,119.5400,121.6600,119.0000,120.5900,98850000.0000,28.6,30.8,13152.0100,13179.2195,0.3106,0.3206,76.8320,0.0553,0.8138,0.1310,-0.3002
2021-03-26,120.3500,121.4800,118.9200,121.2100,94070000.0000,28.6,30.8,13136.7060,13176.5385,0.3070,0.3216,77.6800,0.0553,0.8138,0.1310,-0.3002
2021-03-29,121.6500,122.5800,120.7300,121.3900,80820000.0000,28.6,30.8,13073.1280,13150.0795,0.3072,0.3220,78.5060,0.0553,0.8138,0.1310,-0.3002
2021-03-30,120.1100,120.4000,118.8600,119.9000,85670000.0000,28.6,30.8,13036.6660,13134.4095,0.3114,0.3222,78.8220,0.0553,0.8138,0.1310,-0.3002
2021-03-31,121.6500,123.5200,121.1500,122.1500,118320000.0000,28.6,30.8,13093.6620,13146.8655,0.3222,0.3225,79.0340,0.0553,0.8138,0.1310,-0.3002
2021-04-01,123.6600,124.1800,122.4900,123.0000,75090000.0000,28.6,30.8,13194.1480,13184.6975,0.3282,0.3235,79.1660,0.0553,0.8138,0.1310,-0.3002
2021-04-05,123.8700,126.1600,123.0700,125.9000,88650000.0000,28.6,30.8,13307.5220,13223.9695,0.3522,0.3280,79.2280,0.0553,0.8138,0.1310,-0.3002
2021-04-06,126.5000,127.1300,125.6500,126.2100,80170000.0000,28.6,30.8,13435.2680,13278.4305,0.3496,0.3276,79.2200,0.0553,0.8138,0.1310,-0.3002
2021-04-07,125.8300,127.9200,125.1400,127.9000,83470000.0000,28.6,30.8,13563.9580,13309.1810,0.3486,0.3275,79.2780,0.0553,0.8138,0.1310,-0.3002
2021-04-08,128.9500,130.3900,128.5200,130.3600,88850000.0000,28.6,30.8,13680.4460,13347.2050,0.3450,0.3265,79.4400,0.0553,0.8138,0.1310,-0.3002
2021-04-09,129.8000,133.0400,129.4700,132.9900,106690000.0000,28.6,30.8,13764.4600,13372.2805,0.3370,0.3281,79.6860,0.0553,0.8138,0.1310,-0.3002
2021-04-12,132.5200,132.8500,130.6300,131.2400,91420000.0000,28.6,30.8,13793.3420,13398.7870,0.3376,0.3300,79.8120,0.0553,0.8138,0.1310,-0.3002
2021-04-13,132.4400,134.6600,131.9300,134.4300,91270000.0000,28.6,30.8,13852.8860,13425.6065,0.3412,0.3312,79.7860,0.0553,0.8138,0.1310,-0.3002
2021-04-14,134.9400,135.0000,131.6500,132.0300,87220000.0000,28.6,30.8,13886.6860,13444.9200,0.3486,0.3331,79.7420,0.0553,0.8138,0.1310,-0.3002
2021-04-15,133.8200,135.0000,133.6400,134.5000,89350000.0000,28.6,30.8,13928.5760,13470.5980,0.3496,0.3348,79.9060,0.0553,0.8138,0.1310,-0.3002
2021-04-16,134.3000,134.6700,133.2800,134.1600,84920000.0000,28.6,30.8,13959.0080,13517.4065,0.3494,0.3368,80.0900,0.0553,0.8138,0.1310,-0.3002
2021-04-19,133.5100,135.4600,133.3700,134.8400,94260000.0000,28.6,30.8,13971.9600,13552.3825,0.3456,0.3409,80.1320,0.0553,0.8138,0.1310,-0.3002
2021-04-20,135.2600,135.5200,131.8600,133.1100,94810000.0000,28.6,30.8,13929.9940,13572.8190,0.3386,0.3416,80.4520,0.0553,0.8138,0.1310,-0.3002
2021-04-21,132.3900,133.7300,131.3600,133.5000,68850000.0000,28.6,30.8,13948.4700,13608.9450,0.3344,0.3417,80.8020,0.0553,0.8138,0.1310,-0.3002
2021-04-22,132.9600,134.1500,131.4200,131.9400,84570000.0000,28.6,30.8,13904.4000,13651.7710,0.3280,0.3410,80.9200,0.0553,0.8138,0.1310,-0.3002
2021-04-23,132.1600,135.1200,132.1600,134.3200,78760000.0000,28.6,30.8,13897.2940,13703.7275,0.3264,0.3403,80.7380,0.0553,0.8138,0.1310,-0.3002
2021-04-26,134.7600,135.0400,133.5800,134.7200,66910000.0000,28.6,30.8,13942.0980,13753.7305,0.3294,0.3404,80.5200,0.0553,0.8138,0.1310,-0.3002
2021-04-27,135.2400,135.3500,134.1300,134.3900,66020000.0000,28.6,30.8,14002.8880,13805.2590,0.3372,0.3396,79.9660,0.0553,0.8138,0.1310,-0.3002
2021-04-28,134.3700,134.9800,133.0900,133.5800,107760000.0000,28.6,30.8,14023.0500,13855.5410,0.3414,0.3383,79.4900,0.0553,0.8138,0.1310,-0.3002
2021-04-29,136.7200,136.9900,132.4900,133.4800,151100000.0000,28.6,30.8,14075.8780,13897.3250,0.3420,0.3384,79.2440,0.0553,0.8138,0.1310,-0.3002
2021-04-30,131.7700,133.5500,131.1200,131.4600,109840000.0000,28.6,30.8,14065.0520,13921.4535,0.3414,0.3383,79.4260,0.0553,0.8138,0.1310,-0.3002
2021-05-03,132.0700,134.0600,131.8400,132.5400,75140000.0000,28.6,30.8,14016.3200,13930.9300,0.3318,0.3382,79.7840,0.0553,0.8138,0.1310,-0.3002
2021-05-04,128.6000,128.6000,126.7400,127.8500,136570000.0000,28.6,30.8,13924.9760,13927.6860,0.3286,0.3368,80.2900,0.0553,0.8138,0.1310,-0.3002
